Company_ID,Domain,Founding_Year,Country,City,Funding_Stage,Total_Funding_USD_Millions,Valuation_USD_Millions,Revenue_ARR_Millions,Monthly_Burn_Rate_Millions,Runway_Months_2024,Peak_Headcount_2023,Layoffs_2024_2025,Current_Headcount_2026,Investor_Tier,AI_Adoption_Level,Acquisition_Status,Valuation_Multiple,Burn_Multiple,Layoff_Ratio,Runway_Health
B730AD52,HealthTech,2014,Canada,Montreal,Seed,1.64,17.81,1.46,0.33,3.8,23,0,23,Tier 3 (Angel/Seed),High,Independent,12.198630136986301,2.71,0.0,Crítico (< 6m)
65A5F690,Web3/Crypto,2014,China,Beijing,Pre-IPO,103.87,949.16,32.77,2.42,41.2,242,146,96,Tier 3 (Angel/Seed),High,Closed,28.964296612755565,0.89,0.6033,Saludable (> 18m)
F106C853,Cybersecurity,2020,USA,San Francisco,Series A,10.08,43.37,2.16,1.01,9.1,59,0,59,Tier 2 (Mid-size VC),High,Independent,20.078703703703702,5.61,0.0,Moderado (6-18m)
2BD798AF,FinTech,2023,India,Delhi NCR,Series B,32.28,257.62,11.66,0.78,36.7,76,0,76,Tier 3 (Angel/Seed),Medium,Independent,22.09433962264151,0.8,0.0,Saludable (> 18m)
C5CB4451,Generative AI,2020,USA,New York,Series C+,13.41,76.73,2.57,1.12,11.0,59,28,31,Tier 2 (Mid-size VC),Medium,Closed,29.856031128404673,5.23,0.4746,Moderado (6-18m)
22994DE8,Generative AI,2014,China,Shanghai,Series A,287.28,2399.01,190.65,5.0,56.3,500,0,500,Tier 3 (Angel/Seed),Low,Independent,12.583320220298978,0.31,0.0,Saludable (> 18m)
F998B9AE,Generative AI,2017,USA,New York,Series A,6.55,72.71,6.22,0.61,9.2,32,0,32,Corporate VC (e.g. Google Ventures),Medium,Independent,11.689710610932476,1.18,0.0,Moderado (6-18m)
DFEF57C1,EdTech,2017,UK,Oxford,Seed,2.16,26.22,1.57,0.23,6.5,18,0,18,Tier 3 (Angel/Seed),Medium,Acquired,16.700636942675157,1.76,0.0,Moderado (6-18m)
569C2230,FinTech,2018,USA,San Francisco,Series C+,33.93,246.46,17.12,0.97,31.7,95,0,95,Tier 2 (Mid-size VC),Medium,Independent,14.396028037383177,0.68,0.0,Saludable (> 18m)
859D4768,ClimateTech,2013,USA,Miami,Series B,23.8,209.4,7.83,1.94,11.7,127,0,127,Tier 3 (Angel/Seed),Low,Independent,26.743295019157088,2.97,0.0,Moderado (6-18m)
1D7ABD11,Generative AI,2022,Singapore,Singapore,Seed,4.44,38.72,3.14,0.55,6.8,50,0,50,"Tier 1 (e.g. Sequoia, a16z)",High,Independent,12.331210191082802,2.1,0.0,Moderado (6-18m)
B976C5FE,Web3/Crypto,2020,USA,Seattle,Series A,29.7,106.15,6.46,1.45,19.2,133,60,73,Corporate VC (e.g. Google Ventures),High,Acquired,16.431888544891642,2.69,0.4511,Saludable (> 18m)
EC0C5B60,EdTech,2020,UK,Cambridge,Seed,0.39,16.47,1.28,0.73,0.5,49,12,37,Tier 2 (Mid-size VC),Medium,Independent,12.867187499999998,6.84,0.2449,Crítico (< 6m)
CF9DDC66,Robotics,2014,UK,London,Seed,2.79,35.66,1.54,0.75,3.3,45,0,45,Tier 3 (Angel/Seed),Low,Independent,23.155844155844154,5.84,0.0,Crítico (< 6m)
1D64EC27,Generative AI,2014,USA,San Francisco,Seed,0.79,26.44,3.9,0.57,1.2,34,0,34,Tier 2 (Mid-size VC),Medium,Acquired,6.77948717948718,1.75,0.0,Crítico (< 6m)
D5E2214A,Generative AI,2020,India,Bengaluru,Series A,19.74,236.42,12.55,0.99,18.1,95,0,95,Tier 3 (Angel/Seed),Low,Independent,18.838247011952188,0.95,0.0,Saludable (> 18m)
AFAF9053,SpaceTech,2022,USA,New York,Series A,5.02,32.86,1.54,0.4,10.0,23,0,23,Tier 3 (Angel/Seed),Medium,IPO,21.337662337662337,3.12,0.0,Moderado (6-18m)
DCE11878,FinTech,2020,Germany,Berlin,Series B,32.33,129.42,6.85,2.55,12.2,151,0,151,Tier 2 (Mid-size VC),High,Independent,18.893430656934306,4.47,0.0,Moderado (6-18m)
65A1258D,HealthTech,2022,UK,Oxford,Seed,1.92,32.94,1.75,0.71,2.4,52,0,52,Tier 3 (Angel/Seed),Low,Independent,18.822857142857142,4.87,0.0,Crítico (< 6m)
B2864A7D,Robotics,2021,USA,Seattle,Series C+,74.17,661.86,69.86,2.85,25.1,263,0,263,Tier 2 (Mid-size VC),High,Independent,9.4740910392213,0.49,0.0,Saludable (> 18m)
31E237D5,FinTech,2014,USA,San Francisco,Series A,4.91,50.38,9.64,0.52,7.9,42,0,42,Tier 3 (Angel/Seed),Medium,Acquired,5.226141078838174,0.65,0.0,Moderado (6-18m)
D5F5976A,Generative AI,2017,India,Mumbai,Seed,2.96,32.14,5.34,0.26,8.2,16,8,8,Tier 2 (Mid-size VC),High,Independent,6.0187265917602994,0.58,0.5,Moderado (6-18m)
AC92B07A,Robotics,2020,China,Hangzhou,Series A,5.47,51.74,7.52,0.41,10.7,37,0,37,Tier 3 (Angel/Seed),High,Independent,6.880319148936171,0.65,0.0,Moderado (6-18m)
0D0B58AC,HealthTech,2019,UK,London,Pre-IPO,57.15,400.35,36.49,3.01,18.4,279,0,279,Corporate VC (e.g. Google Ventures),High,Independent,10.971499040833105,0.99,0.0,Saludable (> 18m)
C80FA4EA,HealthTech,2018,USA,Boston,Series A,114.78,392.42,18.74,4.05,27.7,292,0,292,"Tier 1 (e.g. Sequoia, a16z)",Low,Independent,20.94023479188901,2.59,0.0,Saludable (> 18m)
EE52EAA7,Cybersecurity,2019,Germany,Munich,Series C+,25.76,225.87,16.64,1.34,17.9,93,0,93,Tier 2 (Mid-size VC),High,Independent,13.573918269230768,0.97,0.0,Moderado (6-18m)
1936EDA8,Generative AI,2019,USA,San Francisco,Seed,2.65,26.35,4.95,0.2,8.8,16,0,16,Tier 2 (Mid-size VC),High,Independent,5.3232323232323235,0.48,0.0,Moderado (6-18m)
96C4CCA4,FinTech,2022,UK,London,Series C+,62.99,353.43,32.35,4.94,12.5,265,114,151,Corporate VC (e.g. Google Ventures),Medium,Independent,10.925193199381761,1.83,0.4302,Moderado (6-18m)
A8A983FE,FinTech,2015,USA,Miami,Series A,4.26,56.56,4.0,0.21,13.7,19,6,13,Tier 2 (Mid-size VC),Low,Independent,14.14,0.63,0.3158,Moderado (6-18m)
439B6205,Generative AI,2018,USA,Boston,Pre-IPO,459.27,4002.12,512.91,11.62,39.2,710,0,710,Tier 2 (Mid-size VC),Low,Independent,7.802772416213371,0.27,0.0,Saludable (> 18m)
9017993D,FinTech,2020,UK,Cambridge,Series C+,11.08,106.4,4.29,0.22,34.6,15,0,15,Tier 3 (Angel/Seed),Medium,Independent,24.801864801864802,0.62,0.0,Saludable (> 18m)
9F956B96,Generative AI,2020,USA,Austin,Series B,53.25,356.32,19.55,3.11,16.6,220,18,202,Tier 3 (Angel/Seed),Low,Independent,18.226086956521737,1.91,0.0818,Moderado (6-18m)
E83AC299,Generative AI,2020,Israel,Tel Aviv,Series B,25.85,196.33,13.91,3.5,7.2,192,101,91,Corporate VC (e.g. Google Ventures),Medium,Acquired (Fire Sale),14.11430625449317,3.02,0.526,Moderado (6-18m)
B01BC255,Web3/Crypto,2023,UK,London,Seed,2.52,41.59,3.53,0.66,3.3,55,44,11,Tier 3 (Angel/Seed),Low,Acquired (Fire Sale),11.781869688385271,2.24,0.8,Crítico (< 6m)
A494656B,Web3/Crypto,2021,Israel,Jerusalem,Series B,0.0,43.6,1.83,0.21,0.0,11,0,11,Bootstrapped,High,Independent,23.825136612021858,1.38,0.0,Crítico (< 6m)
30AE450D,Cybersecurity,2020,USA,San Francisco,Series A,55.35,321.29,12.16,2.57,20.7,231,0,231,"Tier 1 (e.g. Sequoia, a16z)",High,Independent,26.421875,2.54,0.0,Saludable (> 18m)
AA991B19,SpaceTech,2017,USA,San Francisco,Seed,4.24,39.44,2.33,0.49,7.2,33,0,33,"Tier 1 (e.g. Sequoia, a16z)",High,Closed,16.92703862660944,2.52,0.0,Moderado (6-18m)
BD3FDF5D,Generative AI,2019,China,Hangzhou,Series A,2.46,25.46,0.86,0.31,6.0,27,0,27,Corporate VC (e.g. Google Ventures),Medium,Independent,29.6046511627907,4.33,0.0,Moderado (6-18m)
E589D5BA,ClimateTech,2020,USA,San Francisco,Pre-IPO,0.0,11.44,0.67,0.72,0.0,41,0,41,Bootstrapped,High,Independent,17.07462686567164,12.9,0.0,Crítico (< 6m)
3F8A5785,HealthTech,2021,USA,Austin,Seed,1.09,21.8,1.41,0.44,2.0,42,0,42,Tier 3 (Angel/Seed),High,Acquired,15.460992907801419,3.74,0.0,Crítico (< 6m)
7153735A,Generative AI,2023,India,Delhi NCR,Series A,8.63,41.98,1.47,0.51,14.1,36,11,25,Tier 3 (Angel/Seed),High,Closed,28.557823129251698,4.16,0.3056,Moderado (6-18m)
46A01FEE,HealthTech,2020,India,Delhi NCR,Seed,1.8,21.92,1.01,0.34,4.1,26,0,26,Tier 2 (Mid-size VC),High,Independent,21.702970297029704,4.04,0.0,Crítico (< 6m)
BD14378D,Generative AI,2020,USA,San Francisco,Pre-IPO,432.34,3140.69,178.74,17.75,24.2,1530,0,1530,Tier 3 (Angel/Seed),Low,Acquired,17.571276714781245,1.19,0.0,Saludable (> 18m)
B6A02216,Autonomous Vehicles,2012,India,Hyderabad,Post-IPO,539.67,6283.44,266.16,33.04,16.3,2857,689,2168,Tier 3 (Angel/Seed),Low,Independent,23.607754733994586,1.49,0.2412,Moderado (6-18m)
5954084C,Robotics,2014,China,Beijing,Series A,4.06,40.72,6.03,0.4,8.1,39,19,20,Tier 2 (Mid-size VC),High,Independent,6.75290215588723,0.8,0.4872,Moderado (6-18m)
BE74061F,ClimateTech,2016,China,Hangzhou,Series A,3.76,31.21,2.31,0.55,5.8,29,0,29,Tier 2 (Mid-size VC),High,Independent,13.51082251082251,2.86,0.0,Crítico (< 6m)
E433B5F8,SpaceTech,2014,USA,San Francisco,Series C+,73.63,514.55,94.12,4.11,17.5,357,97,260,Tier 2 (Mid-size VC),Low,Independent,5.466957076073097,0.52,0.2717,Moderado (6-18m)
9B5154C7,FinTech,2019,USA,Seattle,Seed,1.42,21.25,2.67,0.42,2.7,24,0,24,"Tier 1 (e.g. Sequoia, a16z)",Low,Independent,7.958801498127341,1.89,0.0,Crítico (< 6m)
